INFO 2024-10-29 23:05:37,467 Watching for file changes with StatReloader
INFO 2024-10-29 23:12:10,010 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,010 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,011 "GET /static/dist/img/avatar.png HTTP/1.1" 200 8543
INFO 2024-10-29 23:12:10,011 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,012 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,040 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2024-10-29 23:12:10,040 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2024-10-29 23:12:16,938 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:12:18,320 "GET /staff/create/ HTTP/1.1" 200 12596
INFO 2024-10-29 23:12:30,358 "POST /staff/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:30,375 "GET /staff/1/ HTTP/1.1" 200 10835
INFO 2024-10-29 23:12:32,195 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2024-10-29 23:12:33,820 "GET /finance/create/ HTTP/1.1" 200 13423
INFO 2024-10-29 23:12:47,324 "POST /finance/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:47,332 "GET /finance/list HTTP/1.1" 301 0
INFO 2024-10-29 23:12:47,348 "GET /finance/list/ HTTP/1.1" 200 10336
INFO 2024-10-29 23:12:48,861 "GET /result/create/ HTTP/1.1" 200 10558
INFO 2024-10-29 23:12:50,074 "POST /result/create/ HTTP/1.1" 200 10702
INFO 2024-10-29 23:12:53,424 "GET /result/create/ HTTP/1.1" 200 10558
INFO 2024-10-29 23:12:55,117 "POST /result/create/ HTTP/1.1" 200 10702
INFO 2024-10-29 23:12:57,299 "POST /result/create/ HTTP/1.1" 200 10905
INFO 2024-10-29 23:12:59,834 "POST /result/create/ HTTP/1.1" 302 0
INFO 2024-10-29 23:12:59,854 "GET /result/edit-results/ HTTP/1.1" 200 10746
INFO 2024-10-29 23:13:02,132 "GET /result/view/all HTTP/1.1" 200 9815
INFO 2024-10-29 23:13:05,397 "GET /result/edit-results/ HTTP/1.1" 200 10746
INFO 2024-10-29 23:13:05,857 "GET /result/create/ HTTP/1.1" 200 10558
INFO 2024-10-29 23:13:08,005 "GET /result/edit-results/ HTTP/1.1" 200 10746
INFO 2024-10-29 23:13:14,175 "POST /result/edit-results/ HTTP/1.1" 302 0
INFO 2024-10-29 23:13:14,195 "GET /result/edit-results/ HTTP/1.1" 200 10892
INFO 2024-10-29 23:13:16,608 "GET /result/view/all HTTP/1.1" 200 9824
INFO 2024-10-29 23:13:21,317 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2024-10-29 23:13:22,605 "GET /site-config HTTP/1.1" 200 10862
INFO 2024-10-29 23:13:24,674 "GET /finance/list/ HTTP/1.1" 200 10336
